Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","11/05/2022 21:50 UTC"
"Last updated:","10 November 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=21yevO
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,ETH
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 5 - 17","Female 18 - 59","Female 60",f_other,"Female total",f_unknown,"Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 5 - 17","Male 18 - 59","Male 60","Male total",m_other,m_unknown,Total
2020,Ethiopia,ETH,Jordan,JOR,0,0,0,,36,0,,36,,0,0,0,,0,0,0,,,36
2020,Ethiopia,ETH,Japan,JPN,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,27
2020,Ethiopia,ETH,Kenya,KEN,1682,2794,1905,,7183,283,,13847,,1838,2885,2009,,8333,292,15357,,,29204
2020,Ethiopia,ETH,"Rep. of Korea",KOR,0,0,0,,0,0,,64,,0,0,0,,0,0,96,,,332
2020,Ethiopia,ETH,Kuwait,KWT,0,0,0,,6,0,,6,,0,0,0,,5,0,5,,,11
2020,Ethiopia,ETH,Libya,LBY,59,0,0,,353,0,,412,,52,5,53,,563,0,673,,,1085
2020,Ethiopia,ETH,Lebanon,LBN,26,12,5,,614,0,,657,,43,5,5,,35,0,88,,,745
2020,Ethiopia,ETH,Lesotho,LSO,0,0,0,,5,0,,5,,0,0,0,,27,0,27,,,32
2020,Ethiopia,ETH,Lithuania,LTU,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,Luxembourg,LUX,0,0,0,,0,0,,33,,0,0,0,,0,0,41,,,74
2020,Ethiopia,ETH,Mauritania,MRT,0,0,0,,0,0,,0,,0,0,0,,7,0,7,,,7
2020,Ethiopia,ETH,Mexico,MEX,0,0,0,,5,0,,5,,0,0,0,,15,0,15,,,25
2020,Ethiopia,ETH,Malaysia,MYS,0,0,0,,12,0,,12,,0,6,0,,5,0,11,,,23
2020,Ethiopia,ETH,Malawi,MWI,14,0,0,,5,0,,19,,0,0,0,,44,0,44,,,63
2020,Ethiopia,ETH,Morocco,MAR,0,0,0,,0,0,,0,,0,0,0,,6,0,6,,,6
2020,Ethiopia,ETH,Mozambique,MOZ,0,8,0,,0,0,,8,,0,0,0,,15,0,15,,,23
2020,Ethiopia,ETH,Malta,MLT,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,206
2020,Ethiopia,ETH,Netherlands,NLD,0,0,0,,0,0,,27,,0,0,0,,0,0,53,,,379
2020,Ethiopia,ETH,Niger,NER,5,0,0,,16,0,,21,,0,5,0,,44,0,49,,,70
2020,Ethiopia,ETH,Nigeria,NGA,0,0,0,,0,0,,0,,0,0,0,,0,5,5,,,5
2020,Ethiopia,ETH,Norway,NOR,0,0,0,,0,0,,21,,0,0,0,,0,0,32,,,1577
2020,Ethiopia,ETH,"New Zealand",NZL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,16
2020,Ethiopia,ETH,Pakistan,PAK,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2020,Ethiopia,ETH,Panama,PAN,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,Peru,PER,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,Philippines,PHL,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2020,Ethiopia,ETH,Poland,POL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,Portugal,PRT,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,9
2020,Ethiopia,ETH,Romania,ROU,0,0,0,,6,0,,11,,0,0,0,,0,0,0,,,11
2020,Ethiopia,ETH,"South Africa",ZAF,65,548,148,,7520,10,,8291,,83,593,152,,54526,83,55437,,,63728
2020,Ethiopia,ETH,Rwanda,RWA,0,0,0,,8,0,,8,,0,0,0,,0,0,0,,,8
2020,Ethiopia,ETH,Somalia,SOM,1326,2083,1444,,3895,106,,8854,,1439,2119,1414,,3198,175,8345,,,17199
2020,Ethiopia,ETH,Spain,ESP,0,0,0,,0,0,,11,,0,0,0,,0,0,14,,,78
2020,Ethiopia,ETH,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,"South Sudan",SSD,378,453,364,,1140,79,,2414,,410,504,422,,794,24,2154,,,4568
2020,Ethiopia,ETH,Sudan,SDN,926,2868,3639,,19182,2254,,28869,,1311,3557,4240,,31144,4179,44431,,,73300
2020,Ethiopia,ETH,Eswatini,SWZ,0,0,10,,7,0,,17,,0,5,0,,71,0,76,,,93
2020,Ethiopia,ETH,Sweden,SWE,0,0,0,,0,0,,187,,0,0,0,,0,0,290,,,3009
2020,Ethiopia,ETH,Switzerland,CHE,81,67,25,,382,5,,560,,107,52,36,,342,6,543,,,1873
2020,Ethiopia,ETH,"Syrian Arab Rep.",SYR,0,0,0,,15,0,,15,,0,0,0,,0,0,0,,,15
2020,Ethiopia,ETH,Thailand,THA,0,0,5,,12,0,,17,,0,0,7,,0,0,7,,,24
2020,Ethiopia,ETH,Tunisia,TUN,0,0,0,,0,0,,0,,5,0,0,,48,0,53,,,53
2020,Ethiopia,ETH,"United Arab Emirates",ARE,0,0,8,,0,0,,8,,0,0,0,,5,0,5,,,13
2020,Ethiopia,ETH,Uganda,UGA,120,195,156,,978,20,,1469,,164,196,142,,1236,27,1765,,,3234
2020,Ethiopia,ETH,Ukraine,UKR,0,0,0,,0,0,,0,,0,0,0,,5,0,31,,,31
2020,Ethiopia,ETH,"United States of America",USA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,14130
2020,Ethiopia,ETH,"Venezuela (Bolivarian Republic of)",VEN,0,0,0,,5,0,,5,,0,0,0,,0,0,0,,,5
2020,Ethiopia,ETH,Yemen,YEM,203,865,602,,4283,138,,6091,,224,993,925,,6963,147,9252,,,15343
2020,Ethiopia,ETH,Zambia,ZMB,0,0,0,,9,0,,9,,0,5,0,,19,5,29,,,38
2020,Ethiopia,ETH,Zimbabwe,ZWE,0,7,5,,16,0,,28,,0,5,6,,50,0,61,,,89
